sat1_epoch day,sat1_ballistic coefficient,sat1_inclination,sat1_right ascension of the ascending node,sat1_eccentricity,sat1_argument of perigee,sat1_mean anomaly,sat1_mean motion,sat1_apogee,sat1_perigee,sat2_epoch day,sat2_ballistic coefficient,sat2_inclination,sat2_right ascension of the ascending node,sat2_eccentricity,sat2_argument of perigee,sat2_mean anomaly,sat2_mean motion,sat2_apogee,sat2_perigee,inclination difference,eccentricity difference,ascending node difference,argument of perigee difference,mean anomaly difference,mean motion difference,apogee difference,perigee difference,close_approach
351.44926621,0.00010656,97.4338,65.2807,0.0004486,55.5383,304.6276,15.21900636,-6277.496794895766,-6277.580648354723,356.3679376,0.00079284,53.0474,122.2019,0.0004206,276.199,83.8529,15.26239466,-6277.6766996809265,-6277.755170236439,44.3864,2.800000000000003e-05,-56.9212,-220.66070000000002,220.77469999999997,-0.04338830000000016,0.179904785160943,0.17452188171591843,False
356.09867198,0.0,0.0147,52.4231,0.0001053,265.2867,167.0072,1.00270551,-5798.0025218440405,-5798.123182407382,356.52343429,0.00060858,97.5787,125.1615,0.0011589,186.649,173.4604,15.41006832,-6278.205432391455,-6278.420262673445,-97.564,-0.0010536,-72.73840000000001,78.6377,-6.453199999999981,-14.40736281,480.20291054741483,480.29708026606295,False
350.78433615,-2.68e-06,0.0516,140.8749,0.0001024,135.496,231.6634,1.00269898,-5798.001695637007,-5798.119033674326,355.78088989,7.35e-06,43.0011,255.383,0.0001259,282.2937,77.7779,15.40704966,-6278.289070468644,-6278.312412141984,-42.9495,-2.3500000000000002e-05,-114.50810000000001,-146.7977,153.88549999999998,-14.40435068,480.28737483163695,480.1933784676585,False
356.46658444,1.811e-05,97.6547,354.6374,0.0003323,46.9088,313.2414,15.01250212,-6276.652263162655,-6276.714945839103,355.89525504,6.82e-06,59.914,112.9967,0.0016143,316.7964,43.1802,14.27152688,-6273.289146726635,-6273.604107546263,37.740700000000004,-0.001282,241.6407,-269.8876,270.0612,0.7409752400000009,-3.3631164360194816,-3.1108382928405263,False
352.11133375,0.00017304,97.0976,30.5868,0.0002628,50.8009,309.3463,15.25882405,-6277.676864151386,-6277.725901904467,355.86115836,9.75e-06,53.2166,161.7612,0.0001378,88.9041,271.2109,15.08837889,-6276.987117159741,-6277.013023540352,43.881,0.000125,-131.1744,-38.1032,38.135400000000004,0.17044515999999987,-0.6897469916457339,-0.7128783641146583,False
355.84501514,1.34e-06,53.2151,196.51,0.0001686,85.4126,274.7059,15.08842127,-6276.984398008182,-6277.016094725108,355.4932915,2.584e-05,53.1613,277.4703,0.000115,107.7907,252.322,15.30186763,-6277.865719622287,-6277.887138043655,0.05380000000000251,5.36e-05,-80.96030000000002,-22.378100000000003,22.383899999999983,-0.21344636000000072,0.8813216141043085,0.871043318546981,False
351.75912803,0.00011124,97.4049,165.9231,0.0009247,158.7622,201.3989,15.03894488,-6276.7070815879715,-6276.881305806148,355.97452404,-7.953e-05,53.159,208.2486,5.83e-05,115.0565,245.0496,15.30099067,-6277.867441369721,-6277.878299993,44.2459,0.0008664,-42.325500000000005,43.70570000000001,-43.6507,-0.2620457899999984,1.160359781749321,0.9969941868521346,False
351.44926621,0.00010656,97.4338,65.2807,0.0004486,55.5383,304.6276,15.21900636,-6277.496794895766,-6277.580648354723,355.4454688,5.83e-05,98.0847,168.7205,0.0017587,149.2068,211.0193,15.05347954,-6276.689269701247,-6277.02041587722,-0.6508999999999929,-0.0013101,-103.43979999999999,-93.6685,93.60829999999999,0.16552682000000019,-0.8075251945183481,-0.5602324775027228,False
351.40211244,0.0001316,53.0556,24.0575,0.0001337,87.8614,272.2528,15.06427908,-6276.887261911274,-6276.912424293229,352.15919891,1.877e-05,43.0023,276.0007,0.0001129,266.4421,93.6301,15.2590542,-6277.691787861603,-6277.712854477483,10.0533,2.079999999999999e-05,-251.9432,-178.58069999999998,178.62269999999998,-0.1947751199999992,0.8045259503287525,0.8004301842538553,False
355.56031792,0.00011071,53.0526,100.3893,0.0001473,95.2039,264.9118,15.06400469,-6276.884839298242,-6276.912561541098,355.58015113,0.00015476,53.0539,105.4702,0.0001529,85.922,274.1943,15.0641046,-6276.884728468486,-6276.913504518662,-0.001300000000000523,-5.600000000000001e-06,-5.0809,9.281900000000007,-9.28249999999997,-9.990999999942574e-05,-0.00011082975561294006,0.0009429775645912741,False
