sat1_satellite_id,sat1_epoch,sat1_mean_motion,sat1_eccentricity,sat1_inclination,sat1_raan,sat1_argument_of_perigee,sat1_mean_anomaly,sat1_perigee,sat1_apogee,sat1_period,sat1_semi_major_axis,sat1_orbital_energy,sat1_orbital_angular_momentum,sat1_rev_number,sat1_bstar,sat1_mean_motion_derivative,sat1_cluster,sat2_satellite_id,sat2_epoch,sat2_mean_motion,sat2_eccentricity,sat2_inclination,sat2_raan,sat2_argument_of_perigee,sat2_mean_anomaly,sat2_perigee,sat2_apogee,sat2_period,sat2_semi_major_axis,sat2_orbital_energy,sat2_orbital_angular_momentum,sat2_rev_number,sat2_bstar,sat2_mean_motion_derivative,sat2_cluster,mean_motion,eccentricity,inclination,raan,argument_of_perigee,mean_anomaly,perigee,apogee,period,semi_major_axis,orbital_energy,orbital_angular_momentum,bstar,mean_motion_derivative,close_approach
STARLINK-3807,25034.59620419,15.08814066,0.0001178,0.9288432839603583,3.3287355826348852,1.3943505207352778,4.890798281852803,546.1447243145303,547.7745956104172,1.5906532515054088,6917.959659962474,-28809104.229596086,52511919966.329636,15553,-0.00015126999999999998,-2.693e-05,0,STARLINK-4033,25034.55293687,15.08841533,0.0001353,0.9287839427657905,2.4598757744070676,1.9800184405222512,4.305146070029097,545.9397146177116,547.8116917829966,1.590624295202243,6917.875703200354,-28809453.862809293,52511601205.20687,15083,-2.991e-05,-7.64e-06,0,-0.0002746699999995883,-1.7500000000000005e-05,5.934119456785236e-05,0.8688598082278176,-0.5856679197869734,0.5856522118237057,0.2050096968187063,-0.0370961725793677,2.8956303165905695e-05,0.08395676211966929,349.63321320712566,318761.1227645874,-0.00012135999999999998,-1.929e-05,False
STARLINK-4033,25034.55293687,15.08841533,0.0001353,0.9287839427657905,2.4598757744070676,1.9800184405222512,4.305146070029097,545.9397146177116,547.8116917829966,1.590624295202243,6917.875703200354,-28809453.862809293,52511601205.20687,15083,-2.991e-05,-7.64e-06,0,STARLINK-30849,25033.98668714,15.02578739,0.0001922,0.7505788448201615,5.193040439079165,4.33564744403695,1.948649637876157,564.7516779825792,567.4182934510891,1.597254065765133,6937.084985716834,-28729678.432706356,52584456239.1286,6960,-0.0006639899999999999,-9.172e-05,0,0.06262794000000049,-5.69e-05,0.178205097945629,-2.7331646646720973,-2.355629003514699,2.35649643215294,-18.81196336486755,-19.60660166809248,-0.006629770562890158,-19.209282516480016,-79775.43010293692,-72855033.92173004,0.00063408,8.408e-05,False
YAOGAN-31 03A,25034.58632699,13.4538326,0.0132748,1.1066364842025167,0.6796992785674197,6.258590127360482,0.025701718564868494,997.301383245167,1195.5586633922703,1.7838782979951724,7467.430023318719,-26689265.286402486,54552693636.09441,19369,0.00017495,1.9e-07,0,STARLINK-11182 [DTC],25033.00992456,15.69714741,0.0001464,0.9277227825805779,4.560852513409535,1.3043857791119782,4.9808590165849616,365.8637622598153,367.8366047935515,1.528940219081498,6737.850183526683,-29579200.408353917,51823836237.51942,2881,4.0426e-08,-5.84e-06,0,-2.2433148099999993,0.0131284,0.17891370162193876,-3.8811532348421154,4.954204348248504,-4.955157298020093,631.4376209853517,827.7220585987188,0.25493807891367437,729.5798397920353,2889935.121951431,2728857398.574997,0.00017490957399999999,6.03e-06,False
STARLINK-5121,25034.51058617,15.08842004,0.0001257,0.9287787067780344,3.5056159756782503,1.5720878704413723,4.713080130768479,546.0046867496658,547.7438403395199,1.5906237986730891,6917.874263544593,-28809459.858248737,52511595806.987076,12926,9.016800000000001e-05,1.148e-05,0,STARLINK-5745,25034.00428717,15.02529402,5.49e-05,0.7505421929058694,0.2904350048366204,4.448076318462668,1.8364738361919775,565.8559878275564,566.6176964328224,1.597306513140697,6937.236842130189,-28729049.538807686,52585032678.605736,10879,-3.5052e-05,-6.77e-06,0,0.06312602000000034,7.079999999999999e-05,0.178236513872165,3.21518097084163,-2.875988448021296,2.8766062945765016,-19.85130107789064,-18.873856093302493,-0.00668271446760782,-19.362578585595656,-80410.31944105029,-73436871.61865997,0.00012522,1.825e-05,False
STARLINK-2021,25034.18552842,15.0644308,0.0002933,0.9260053785966155,0.08832587745567703,2.374365113034858,3.9109547318199174,552.1853610820444,556.247693096836,1.5931567756280554,6925.21652708944,-28778915.449126434,52539453078.57602,22072,0.0018595999999999999,0.00027559,0,RROCI-2,25034.32769153,14.95922483,0.0007442,1.7066091225388353,2.8187625925069058,3.8457247963558814,2.4386281360932887,581.4700402663138,591.8258034331948,1.6043612067297184,6957.647921849754,-28644769.487993035,52662320491.78429,5007,0.00054077,6e-05,0,0.10520597000000009,-0.0004509,-0.7806037439422199,-2.7304367150512285,-1.4713596833210234,1.4723265957266287,-29.284679184269407,-35.578110336358804,-0.011204431101663026,-32.431394760314106,-134145.96113339812,-122867413.20826721,0.00131883,0.00021559,False
STARLINK-4375,25034.59260476,15.01251945,4.03e-05,1.7044798208514023,1.7123215851806128,0.44619516860160235,5.8391613281674655,569.8919467440801,570.451405181163,1.5986657056420974,6941.1716759626215,-28712763.522357408,52599943841.74654,14010,0.0001076,1.323e-05,0,STARLINK-5431,25034.39143812,15.08844923,0.0001326,0.9288415386311062,0.633130403465707,1.4744035375365017,4.8107766809781145,545.9480324192255,547.7826503077549,1.5906207214642936,6917.86534136349,-28809497.014684375,52511561897.32471,11964,-1.5734000000000002e-05,-5.38e-06,0,-0.07592978000000095,-9.23e-05,0.7756382822202961,1.0791911817149058,-1.0282083689348993,1.028384647189351,23.94391432485463,22.668754873408034,0.00804498417780386,23.306334599131333,96733.49232696742,88381944.42182922,0.000123334,1.861e-05,False
STARLINK-5121,25034.51058617,15.08842004,0.0001257,0.9287787067780344,3.5056159756782503,1.5720878704413723,4.713080130768479,546.0046867496658,547.7438403395199,1.5906237986730891,6917.874263544593,-28809459.858248737,52511595806.987076,12926,9.016800000000001e-05,1.148e-05,0,RROCI-2,25034.32769153,14.95922483,0.0007442,1.7066091225388353,2.8187625925069058,3.8457247963558814,2.4386281360932887,581.4700402663138,591.8258034331948,1.6043612067297184,6957.647921849754,-28644769.487993035,52662320491.78429,5007,0.00054077,6e-05,0,0.12919521000000067,-0.0006185,-0.7778304157608009,0.6868533831713446,-2.2736369259145093,2.2744519946751907,-35.465353516648065,-44.08196309367486,-0.013737408056629263,-39.77365830516101,-164690.37025570124,-150724684.7972107,-0.000450602,-4.852e-05,False
STARLINK-3935,25034.51429234,15.08839512,0.0001661,0.9288345573140983,2.11333716076509,2.0199201578813453,4.2652967125475625,545.73282040491,548.0309407656405,1.5906264257480531,6917.881880585275,-28809428.137148034,52511624406.840294,15118,-5.6105000000000006e-05,-1.181e-05,0,STARLINK-6243,25034.21286459,15.0253995,9.71e-05,0.7505352115888615,1.8410500894907065,4.730238462644835,1.5542226802179584,565.5307727570607,566.8779778467451,1.5972952998687298,6937.2043753019025,-28729183.993707348,52584909458.71305,9025,0.00020554000000000001,2.574e-05,0,0.06299561999999881,6.9e-05,0.17829934572523676,0.2722870712743837,-2.71031830476349,2.711074032329604,-19.797952352150787,-18.847037081104645,-0.006668874120676627,-19.32249471662726,-80244.14344068617,-73285051.87275696,-0.000261645,-3.7550000000000005e-05,False
STARLINK-5745,25034.00428717,15.02529402,5.49e-05,0.7505421929058694,0.2904350048366204,4.448076318462668,1.8364738361919775,565.8559878275564,566.6176964328224,1.597306513140697,6937.236842130189,-28729049.538807686,52585032678.605736,10879,-3.5052e-05,-6.77e-06,0,MARAFON-D GVM,25034.58187564,14.45617062,0.001502,1.5533447796042053,5.995750523327144,3.7980965063982084,2.4853593268154373,736.4453721247,757.8282551128104,1.6601906985516728,7118.136813618756,-27998930.91668165,53266181370.15361,4914,0.00022192999999999998,8e-06,0,0.5691234000000005,-0.0014471,-0.8028025866983358,-5.705315518490524,0.6499798120644598,-0.6488854906234598,-170.58938429714362,-191.21055867998803,-0.06288418541097585,-180.89997148856673,-730118.6221260354,-681148691.5478745,-0.000256982,-1.477e-05,False
STARLINK-5121,25034.51058617,15.08842004,0.0001257,0.9287787067780344,3.5056159756782503,1.5720878704413723,4.713080130768479,546.0046867496658,547.7438403395199,1.5906237986730891,6917.874263544593,-28809459.858248737,52511595806.987076,12926,9.016800000000001e-05,1.148e-05,0,MARAFON-D GVM,25034.58187564,14.45617062,0.001502,1.5533447796042053,5.995750523327144,3.7980965063982084,2.4853593268154373,736.4453721247,757.8282551128104,1.6601906985516728,7118.136813618756,-27998930.91668165,53266181370.15361,4914,0.00022192999999999998,8e-06,0,0.6322494200000008,-0.0013763,-0.6245660728261708,-2.490134547648894,-2.226008635956836,2.227720803953042,-190.44068537503426,-210.08441477329052,-0.06956689987858367,-200.2625500741624,-810528.9415670857,-754585563.1665344,-0.00013176199999999998,3.4800000000000006e-06,False
